summary,sentiment,keywords
" Consumer Reports evaluated a half dozen digital wallets over a 10-month period ending in March . The wallets were from Apple, Cash App, Google, PayPal Holdings, Samsung and Venmo . All six allow consumers to make contactless payments and peer-to-peer money transfers .  Apple scored highest for the safety of its stored balance and P2P functions . Four of the wallets – from Apple, Cash App, Google and PayPal – were rated broadly equal overall for their wallet and pay functions .  PayPal and Venmo offer “slightly more generous liability coverage for unauthorized transactions” than Block’s Cash App, Consumer Reports says . The disclosure on their legal obligations “was relatively clear and transparent,” the report found . “All the companies, fintech or traditional tech, have more economic incentive to proactively address and provide stronger consumer protections, the report says .  Roughly 59% of people use a digital wallet at least once per month, survey finds . Apple Wallet was the most often used (39%) followed by PayPal (16%) and Google (14%) Congress has repealed a rule that would have given the Consumer Financial Protection Bureau regulatory oversight of digital wallet providers .  All of the wallets offer overlapping functions, but Google is the only one of the six not to offer peer-to-peer payments . Google is also the only company among its wallet peers not to require binding arbitration to resolve legal disputes .  Consumer Reports’ overview was supported financially by Craig Newmark Philanthropies and Flourish Ventures, a San Francisco-based investment firm .",neutral,"wallet, google, consumer, wallets, paypal"
" The European Commission has imposed a €500m ($568.5m) fine on iPhone maker Apple . The fine follows a period of extensive discussions where Apple had the opportunity to present its perspective and arguments in detail . The move was labelled as ""economic extortion"" by the US .  The commission's current directive requires Apple to eliminate both technical and commercial barriers related to steering . Consumers are also unable to access alternative and potentially less expensive offers, as Apple hinders app developers from directly communicating such opportunities . Apple is expected to adhere to the directive within a 60-day timeframe or face the possibility of recurring fines .  Meta parent company Meta has been fined €200m for violating DMA rules that require offering consumers a service option that uses less personal data . White House spokesperson: ""This novel form of economic extortion will not be tolerated by the United States""  informational purposes only . We give no representation, warranty or guarantee as to its accuracy or completeness . You must obtain professional or specialist advice before taking, or refraining from, any action on the basis of the content on our site .",negative,"apple, consumers, directive, fine, meta"
" Berkshire Hathaway's portfolio has changed significantly over the past year . CEO Warren Buffett has been taking note of his seemingly conservative investment strategy . The biggest move Buffett made to Berkshire's stock portfolio was trimming the company's stake inApple .  In 2023, Apple stock accounted for around half of Berkshire's portfolio value . As of the end of 2024, Apple made up just 22% of its holdings . The other top five stocks in the portfolio remain the same: American Express,Bank of America,Coca-Cola, andChevron . Buffett has made other investment moves over the past year .  Buffett may be worried about the economy and is holding onto safe investments . Others think it might be because Buffett thinks stocks are all inflated in value right now . Buffett may end up buying some Apple this quarter, simply because it's come down in value .  Your strategy is going to be different than Buffett's because your needs are likely different from his . Buffett will be the first to tell you that trying to time the market is something that even the world's smartest and best investors don't try to do . Taking a position in anS&P 500 index fund may be a no-brainer option .  The 10 stocks that made the cut could produce monster returns in the coming years . Consider when Netflixmade this list on December 17, 2004... if you invested $1,000 at the time of our recommendation,you’d have $561,046! The Motley Fool’s total average return is 811% — a market-crushing outperformance compared to153% for the S&P 500 .  Domino's Pizza is one of the pizza chains most pizza chains in the U.S. market . The company has been in the news for more than a decade .",neutral,"buffett, portfolio, pizza, value, apple"
 Taiwan Semiconductor Manufacturing Co. plans to begin production with its A14 fabrication process in 2028 . Technology will advance the world’s biggest chipmaker beyond its current state-of-the-art 3-nanometer fabrication and the upcoming 2-nm later this year . TSMC also plans an intermediary chip process for late 2026 .  TSMC plans about $40 billion in capital expenditures this year . The chipmaker has corral Apple Inc. and Nvidia Corp.’s most lucrative chipmaking business . Long-term plans are still geared to capture strong AI-driven demand .  Investor anxiety about an AI bubble has grown in recent weeks with the announcement of wide-ranging tariffs by the US. US. investor anxiety has grown .,positive,"plans, anxiety, chipmaker, fabrication, grown"
" We recently published a list of10 Best Stocks to Buy and Hold for 20 Years . We are going to take a look at where Apple Inc. stands against other best stocks to buy and hold for 20 years . Ameriprise Financial opines that Q2 2025 is expected to bring as much uncertainty and volatility .  Investors are required to focus on holding high-quality assets throughout their portfolio . Ameriprise Financial believes that the bullish case for stocks is expected to prevail long term . However, the threat of Trump’s tariff policies and possible retaliatory tariffs can change the broader market dynamics .  The US economy and S&P 500 Index corporate profits are projected to grow, says Ameriprise Financial . The corporate profit margins are at strong levels relative to history, which can support companies in navigating tariff worries .  Morgan Stanley reaffirmed an “Overweight” rating and a price objective of $220.00 on Apple Inc.’s stock . Morgan Stanley opines that, looking beyond the current tariff uncertainties, the company’�s advancements in software and hardware can accelerate the company's growth . Our quarterly newsletter's strategy selects 14 small-cap and large-cap stocks every quarter .  Wamsi Mohan, an analyst from Bank of America Securities, reiterated a “Buy” rating on the company’s stock . Apple Inc.(NASDAQ:AAPL) has witnessed a fall of over 17% on a YTD basis (through the close of April 21) As per the analyst, Apple's stable cash flows and earnings resiliency, together with its potential benefits stemming from AI-advancements, aid the analyst's rating . The company possesses strategies to mitigate such risks, like diversification of the supply chain .  The company is known for its sticky ecosystem, therefore, its loyal customers are expected to continue to use iOS devices . Columbia Threadneedle Investments, an investment management company, published its Q4 2024 investor letter . Overall, AAPLranks 5thon our list of best stocks to buy and hold for 20 years .  This article was originally published atInsider Monkey.com . In fact, the author of this article has never published an article in this article’s entirety .",neutral,"stocks, published, buy, companys, company"
" Goldman Sachs lowered the firm’s price target on Apple (AAPL) to $256 from $259 . Goldman Sachs keeps a Buy rating on the shares ahead of its Q2 results . Apple should deliver strong fundamental results driven by new product innovation and resulting channel fill .  Wall Street’s top analyst calls Apple initiated with a Buy at Huatai Securities . Apple U.S. iPhone survey ‘surprisingly positive,’ says Morgan Stanley .",positive,"apple, sachs, goldman, buy, results"
" Wall Street is already looking past what’s expected to be the slowest gain in quarterly earnings in a year . The hope is that their stance on big expenditures, like real estate or major machinery, will offer clarity into how they see the economy . “I don’t think businesses can spend cash in a time like this,” said one analyst .  JB Hunt Transport Services Inc., a transportation industry bellwether, cut its capital expenditure plan for the year . United Airlines Holdings Inc. laid out two possible earnings scenarios — one if there's a recession and another if it’s avoided — yet in both cases its long-term investments were below expectations .  Data from the Federal Reserve banks of Philadelphia, New York, Richmond and Dallas all show that manufacturers’ plans for capital spending fell in the first quarter . The March NFIB small business optimism survey — which typically has a pro-Republican bias — fell below its 51-year average . A poll by Chief Executive magazine found that just 26% of the 329 corporate leaders who participated planned to increase their capital expenditures .  Investors already had their eyes on spending at the biggest companies in the S&P 500, known as the Magnificent Seven . Microsoft’s sudden decision to pause work on data centers in Ohio shows that doubts about the value of those expenditures are emerging .  The most vulnerable companies right now are in capital-intensive industries that also have international trade exposure . Manufacturers of computers, electronics, appliances, machinery, petroleum products and chemicals will likely have the most gloomy updates .  Some manufacturers may suspend guidance due to uncertainty surrounding trade . Trucking and logistics companies also will be crucial to watch as consumer demand takes a hit . Companies like Wesco International Inc. and 3M Co. remain most exposed to the turmoil .  Many publicly traded truckers are using relatively new vehicles, Seidl said . That kind of decision would ripple through the supply chain, where companies that make trucks and their parts will see orders take a hit . The Trump administration’s effort to bring manufacturing back to the US through the use of tariffs could spur some companies to build new factories or expand their businesses .  ""This is a different kind of virtue signaling, a ‘president signaling. See we are doing the things you want us to do.” Caterpillar Inc. said .",negative,"companies, capital, like, manufacturers, new"
" Companies like Apple and Microsoft are sitting on a combined $500 billion in cash . Analysts expect Apple, Microsoft, Nvidia, Alphabet, Amazon, and Meta Platforms to generate nearly $100 billion in free cash flow in Q1 2025 . Even with heavy investments in AI, these firms are printing cash .  With that kind of confidence and capital, Big Tech isn't just weathering the downturn . It's leaning in. strong message that companies believe in their own long-term value .",neutral,"cash, billion, companies, apple, microsoft"
" The ""Magnificent Seven"" stocks, made up of Nvidia (NVDA), Alphabet (GOOG,GOOGL), Tesla (TSLA), Microsoft (MSFT), Amazon (AMZN), and Meta (META) rise . Vertiv Holdings (VRT) stock surges after the data center cooling system company reported a first quarter earnings beat and raised its full-year sales guidance . Solar equipment stocks Enphase Energy (ENPH) and SolarEdge (SEDG) plunge after Guggenheim analysts downgraded the stocks to Sell .",negative,"stocks, meta, earnings, guidance, guggenheim"
" Marjorie Taylor Greene is one of the most active members of the Trump administration on the US stock market . Her latest disclosures show that Greene, who is the US representative for the 14th congressional district of Georgia since 2021, purchased stakes in several beaten down technology stocks in the days prior to the announcement of a 90-day pause on new Trump tariffs .  Taylor Greene sold between $50,000 to $100,000 worth of US Treasury Bills to fund the purchase of beaten down technology stocks . Greene sits on important Congressional committees, including the House Committee on Oversight and Accountability .  Greene is a staunch supporter of the tariffs, having said in a post on social networking platform X that tariffs were a powerful proven source of leverage to protect national interests . For this article, we consulted Capitol Trades, a platform that tracks the stock trading activity of politicians in the US .  Apple Inc. (NASDAQ:AAPL) has registered a daily move of over 4% for five consecutive trading sessions . This volatility in the tech stock has not been witnessed since the 2008 financial crisis . KeyBanc Capital Markets recently upgraded the stock to Sector Weight from Underweight .  Overall, AAPLranks 4thon our list of best stock to buy according to Marjorie Taylor Greene . There is an AI stock that went up since the beginning of 2025, while popular AI stocks lost around 25%.",neutral,"greene, stock, stocks, tariffs, taylor"
" Goldman Sachs reiterated a Buy rating on Apple on Tuesday . Apple has taken a number of steps to head off the tariff problem, including stockpiling devices and shifting production to India .",positive,"apple, problem, buy, devices, goldman"
 European Commission imposed a total of 700 million euros ($793.3 million) The European Commission said Wednesday that it imposed the total of $793 million .,negative,"million, total, imposed, european, commission"
" PayPalPYPL shares are trading cheap, as suggested by the Value Score of B . In terms of forward 12-month P/E, PYPL stock is trading at 11.86X compared with the Zacks Financial Transaction Services industry’s 22.34X . The stock is cheaper than competitors, including VisaV, MastercardMA andAppleAAPL .  PayPal expects transaction margin in dollar terms (ex-interest on customer balances) to grow at least 5% in 2025 and high-single-digit growth for 2027 . PYPL’s investments in improving branded checkout, person-to-person (P2P) and Venmo helped in driving total active accounts .  PayPal’s partnership with Adyen, Global Payments, and Pfizer is expected to attract more merchants to Fastlane . Roughly 75% of Fastlane consumers are new or dormant PayPal users, while 25% never had a PayPal account .  PayPal reiterated 2025 non-GAAP earnings per share guidance growth range between 6-10% . Over the long term, PayPal is expected to grow at more than 20% . The Zacks Consensus Estimate for 2025 earnings is pegged at $4.98 per share down by 1% over the past 30 days .  PayPal’s earnings beat the Zacks Consensus Estimate in all the trailing four quarters, the average surprise being 14.26% . PayPal currently has a Zacks Rank #3 (Hold), which implies that investors should wait for a more favorable point to start accumulating the stock . Continuing deceleration in unbranded volume is a concern .  Apple Inc. is one of the fastest-growing companies in the U.S. stock market . The company has been in decline for more than two years .",positive,"paypal, zacks, stock, 2025, earnings"
" U.S. President Donald Trump said tariffs on Chinese imports will come down substantially if a new agreement is reached, though he ruled out eliminating them entirely . Comments sparked a rally across global equity markets, with the S&P 500 and Nasdaq each rising over 2.5% .  Trump also said he has no intention of removing Federal Reserve Chair Jerome Powell . The stock is still down more than 19% year-to-date .",negative,"trump, said, donald, intention, imports"
" Google parent Alphabet and Intel report results after the bell on Thursday . Tech stocks have plummeted since the president's April 2 ""Liberation Day"" event . Trump has ordered a 145% tariff on goods from China as part of the move .  The three major indexes fell more than 3% following the president's remarks. last week . Google and Meta, which report earnings on April 24 and April 30, respectively, are staring down the potential for an ad sales slowdown .  BofA Securities analyst Justin Post said brand budgets could fall by 15% to 20% . Trump announced his 90-day pause on tariffs the same day . Both Google and Meta are embroiled in antitrust battles .  Intel could announce a pull forward in Q1 sales when it reports on April 24 . Chip companies including AMD, Intel, and Nvidia are also facing their own troubles heading into earnings . Intel does have the benefit of having a CEO stand to defend the company in its antitrust trial .  AMD and Nvidia announce their earnings on May 6 and May 28 . Nvidia and AMD could take a hit if Trump decides to impose tariffs on laptops and desktops . The companies also have to deal with the coming AI diffusion rules that require certain countries to get licenses to receive a limited number of high-powered AI chips .  Amazon, Google, and Microsoft have seen a dip in their stock prices since 2024 . Analysts say tariffs could hurt revenue as customers pull back on spending . Amazon reports its earnings on May 1; Microsoft reports April 30 .  Apple is among the most exposed to tariffs of its Big Tech cohort . The company is currently exempt from tariffs on phones and computers . Apple airlifted 600 tons of iPhones from India to the US to avoid paying extra duties .  Before Trump put exemptions into effect, Ives estimated that Apple would have to ramp up iPhone prices to more than $2,000 . The same tariffs come back when Trump launches his duties on semiconductors, we could see just that .",negative,"tariffs, april, trump, google, intel"
